{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'filter',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.58925128064837706, "dev_loss": 0.67798167307462009, "epoch": 0, "train_acc": 0.70388414604613869, "train_loss": 0.72264140957518463}
{"dev_acc": 0.55105095773349411, "dev_loss": 0.68289179408124512, "epoch": 1, "train_acc": 0.73197704758983351, "train_loss": 0.65572426854809629}
{"dev_acc": 0.5360651844553721, "dev_loss": 0.69880109227129394, "epoch": 2, "train_acc": 0.79032254735188845, "train_loss": 0.66632341395450545}
{"dev_acc": 0.55003830971401579, "dev_loss": 0.67184866645506447, "epoch": 3, "train_acc": 0.80497674794963037, "train_loss": 0.61622359028345419}
{"dev_acc": 0.59415472587940688, "dev_loss": 0.66234491339751655, "epoch": 4, "train_acc": 0.82571440081365066, "train_loss": 0.55850116295527807}
{"dev_acc": 0.59736815850747749, "dev_loss": 0.66710325649806435, "epoch": 5, "train_acc": 0.83279220055982084, "train_loss": 0.51858934892129294}
{"dev_acc": 0.60677715762846152, "dev_loss": 0.68373464792966843, "epoch": 6, "train_acc": 0.85686775477645827, "train_loss": 0.43520027936636646}
{"dev_acc": 0.62225170864519352, "dev_loss": 0.65162398905626362, "epoch": 7, "train_acc": 0.86533201034264562, "train_loss": 0.39694366677180876}
{"dev_acc": 0.57570202384718827, "dev_loss": 0.67296383609729149, "epoch": 8, "train_acc": 0.86966939357985495, "train_loss": 0.40361081146269662}
{"dev_acc": 0.58347462878223932, "dev_loss": 0.65447797386773998, "epoch": 9, "train_acc": 0.87050903867393525, "train_loss": 0.36947569997297436}
{"dev_acc": 0.62447328230053589, "dev_loss": 0.65027367443378481, "epoch": 10, "train_acc": 0.88041996588166904, "train_loss": 0.32883289963289908}
{"dev_acc": 0.62341846141297153, "dev_loss": 0.6607436485854643, "epoch": 11, "train_acc": 0.88830624889444443, "train_loss": 0.30851625387934095}
{"dev_acc": 0.61247034257587085, "dev_loss": 0.66365943955523632, "epoch": 12, "train_acc": 0.89383199937201829, "train_loss": 0.2968306314079327}
{"dev_acc": 0.60978430601865874, "dev_loss": 0.68188183149322867, "epoch": 13, "train_acc": 0.89630649588670275, "train_loss": 0.27776711723543229}
{"dev_acc": 0.63841396147819585, "dev_loss": 0.70166548175205079, "epoch": 14, "train_acc": 0.90097068621566778, "train_loss": 0.26580738213762073}
{"dev_acc": 0.61408572195927602, "dev_loss": 0.70361042049314293, "epoch": 15, "train_acc": 0.90542755444342804, "train_loss": 0.25292937009288824}
{"dev_acc": 0.60212393315376922, "dev_loss": 0.73849562632053023, "epoch": 16, "train_acc": 0.91092218380475998, "train_loss": 0.2421049337769281}
{"dev_acc": 0.59275714386508382, "dev_loss": 0.73262170658979031, "epoch": 17, "train_acc": 0.91287546635346239, "train_loss": 0.23831831851879817}
{"dev_acc": 0.56432945856966188, "dev_loss": 0.77182940290575586, "epoch": 18, "train_acc": 0.91674114628566006, "train_loss": 0.22852624522424833}
{"dev_acc": 0.58065919505687502, "dev_loss": 0.77797532449143803, "epoch": 19, "train_acc": 0.91997264065370288, "train_loss": 0.22025347879168258}
{"dev_acc": 0.58926155835612881, "dev_loss": 0.79289284295269424, "epoch": 20, "train_acc": 0.89470217916490524, "train_loss": 0.31746097022219549}
{"dev_acc": 0.56022089699154021, "dev_loss": 0.77601991992975983, "epoch": 21, "train_acc": 0.88937514563877085, "train_loss": 0.33386905870954448}
{"dev_acc": 0.55414546146982957, "dev_loss": 0.78048645252627991, "epoch": 22, "train_acc": 0.90244981563974724, "train_loss": 0.28152162312600715}
{"dev_acc": 0.57534527942325531, "dev_loss": 0.78622313375983921, "epoch": 23, "train_acc": 0.90264935570454941, "train_loss": 0.26513492433012381}
